Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/9/20,2/1/20,9/5/20,Connecticut,Female,55-64 years,123,847,57,28,,157,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Female,65-74 years,292,"1,420",149,67,,377,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Female,75-84 years,570,"2,456",243,134,12,691,
9/9/20,2/1/20,9/5/20,Connecticut,Female,85 years and over,"1,244","5,078",409,215,12,"1,450",
9/9/20,2/1/20,9/5/20,Connecticut,Female,All Ages,"2,269","10,464",879,451,37,"2,734",
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,35-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,50-64 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,55-64 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,Unknown,All Ages,0,19,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Connecticut,All Sexes,All Ages,"4,360","20,816","1,848",945,73,"5,333",
9/9/20,2/1/20,9/5/20,Delaware,Male,Under 1 year,0,15,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Male,0-17 years,0,30,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,15-24 years,,40,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,18-29 years,,63,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,25-34 years,,90,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,30-49 years,10,248,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,35-44 years,,109,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,45-54 years,10,197,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,50-64 years,38,559,38,20,0,56,
9/9/20,2/1/20,9/5/20,Delaware,Male,55-64 years,32,439,31,17,0,46,
9/9/20,2/1/20,9/5/20,Delaware,Male,65-74 years,75,714,78,36,,118,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,75-84 years,72,763,53,27,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,85 years and over,63,704,47,26,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Male,All Ages,260,"3,081",223,112,,376,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,Under 1 year,0,18,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Female,0-17 years,0,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,15-24 years,,22,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,18-29 years,,28,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,25-34 years,,29,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,30-49 years,,126,,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,35-44 years,,71,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,45-54 years,15,109,10,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,50-64 years,35,377,34,17,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,55-64 years,23,304,25,12,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,65-74 years,43,538,46,17,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,75-84 years,70,781,66,27,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,85 years and over,133,"1,185",90,37,,190,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Delaware,Female,All Ages,292,"3,066",246,104,11,445,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,85 years and over,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,Unknown,All Ages,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Delaware,All Sexes,All Ages,552,"6,147",469,216,16,821,
9/9/20,2/1/20,9/5/20,District of Columbia,Male,Under 1 year,,35,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,0-17 years,,61,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,15-24 years,0,62,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,18-29 years,,104,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,25-34 years,,115,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,30-49 years,40,295,45,37,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,35-44 years,21,145,22,19,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,45-54 years,47,226,52,45,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,50-64 years,112,641,133,102,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,55-64 years,82,500,100,73,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,65-74 years,126,590,159,123,,163,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,75-84 years,89,425,114,86,0,117,
9/9/20,2/1/20,9/5/20,District of Columbia,Male,85 years and over,58,343,72,57,,74,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Male,All Ages,429,"2,459",530,408,,556,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,Under 1 year,0,25,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,0-17 years,0,44,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,1-4 years,0,10,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,5-14 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,15-24 years,,11,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,18-29 years,,30,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,25-34 years,,40,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,30-49 years,14,133,21,14,0,21,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,35-44 years,,60,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,45-54 years,21,132,28,21,0,28,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,50-64 years,63,399,81,59,0,85,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,55-64 years,50,319,65,46,0,69,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,65-74 years,70,406,93,66,,98,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Female,75-84 years,63,373,89,61,0,91,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,85 years and over,87,587,113,85,0,115,
9/9/20,2/1/20,9/5/20,District of Columbia,Female,All Ages,300,"1,972",402,288,,418,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,85 years and over,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,Unknown,All Ages,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,District of Columbia,All Sexes,All Ages,729,"4,431",932,696,,974,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,Under 1 year,0,386,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,0-17 years,,720,14,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,1-4 years,0,78,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,5-14 years,,127,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,15-24 years,18,992,22,,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,18-29 years,30,"1,780",43,15,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,25-34 years,43,"2,041",60,21,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,30-49 years,295,"5,634",306,156,22,466,
9/9/20,2/1/20,9/5/20,Florida,Male,35-44 years,136,"2,721",143,74,,211,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Male,45-54 years,332,"4,588",356,175,20,531,
9/9/20,2/1/20,9/5/20,Florida,Male,50-64 years,"1,052","13,615","1,218",568,40,"1,740",
9/9/20,2/1/20,9/5/20,Florida,Male,55-64 years,850,"10,816",987,462,31,"1,406",
9/9/20,2/1/20,9/5/20,Florida,Male,65-74 years,"1,506","16,292","1,858",818,39,"2,583",
9/9/20,2/1/20,9/5/20,Florida,Male,75-84 years,"1,916","19,602","2,333","1,022",38,"3,263",
9/9/20,2/1/20,9/5/20,Florida,Male,85 years and over,"1,650","18,436","1,984",839,21,"2,813",
9/9/20,2/1/20,9/5/20,Florida,Male,All Ages,"6,452","76,079","7,756","3,419",167,"10,945",
9/9/20,2/1/20,9/5/20,Florida,Female,Under 1 year,0,331,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,0-17 years,,551,11,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,1-4 years,0,73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,5-14 years,,86,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,15-24 years,,346,,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,18-29 years,15,651,26,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,25-34 years,27,901,50,20,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,30-49 years,164,"3,063",209,88,18,303,
9/9/20,2/1/20,9/5/20,Florida,Female,35-44 years,79,"1,475",96,39,,143,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Female,45-54 years,164,"2,681",203,79,13,300,
9/9/20,2/1/20,9/5/20,Florida,Female,50-64 years,530,"8,233",745,272,30,"1,031",
9/9/20,2/1/20,9/5/20,Florida,Female,55-64 years,431,"6,605",623,227,24,850,
9/9/20,2/1/20,9/5/20,Florida,Female,65-74 years,974,"11,237","1,188",515,39,"1,686",
9/9/20,2/1/20,9/5/20,Florida,Female,75-84 years,"1,458","16,443","1,673",751,36,"2,415",
9/9/20,2/1/20,9/5/20,Florida,Female,85 years and over,"2,039","26,182","2,102",915,31,"3,252",
9/9/20,2/1/20,9/5/20,Florida,Female,All Ages,"5,183","66,360","5,954","2,550",159,"8,737",
9/9/20,2/1/20,9/5/20,Florida,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Unknown,35-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,Unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Florida,Unknown,All Ages,0,10,0,0,0,0,
9/9/20,2/1/20,9/5/20,Florida,All Sexes,All Ages,"11,635","142,449","13,710","5,969",326,"19,682",
9/9/20,2/1/20,9/5/20,Georgia,Male,Under 1 year,,179,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,0-17 years,,358,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,1-4 years,,49,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,5-14 years,,80,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,15-24 years,,476,,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,18-29 years,13,830,17,,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,25-34 years,31,874,22,,0,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,30-49 years,143,"2,486",126,63,,209,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,35-44 years,52,"1,165",56,23,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,45-54 years,175,"2,136",156,83,,254,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,50-64 years,516,"6,282",511,233,14,808,
9/9/20,2/1/20,9/5/20,Georgia,Male,55-64 years,409,"4,997",415,184,10,650,
9/9/20,2/1/20,9/5/20,Georgia,Male,65-74 years,686,"6,937",679,335,10,"1,040",
9/9/20,2/1/20,9/5/20,Georgia,Male,75-84 years,707,"6,881",749,347,11,"1,119",
9/9/20,2/1/20,9/5/20,Georgia,Male,85 years and over,459,"5,039",476,201,,742,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Male,All Ages,"2,529","28,813","2,562","1,184",50,"3,956",
9/9/20,2/1/20,9/5/20,Georgia,Female,Under 1 year,0,142,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Female,0-17 years,,261,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,1-4 years,0,37,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,5-14 years,,49,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,15-24 years,,154,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,18-29 years,13,289,12,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,25-34 years,26,385,20,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,30-49 years,125,"1,562",119,48,,205,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,35-44 years,57,716,56,22,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,45-54 years,110,"1,549",129,50,,194,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,50-64 years,348,"4,289",381,156,14,587,
9/9/20,2/1/20,9/5/20,Georgia,Female,55-64 years,288,"3,369",302,126,13,477,
9/9/20,2/1/20,9/5/20,Georgia,Female,65-74 years,488,"5,255",457,221,13,737,
9/9/20,2/1/20,9/5/20,Georgia,Female,75-84 years,618,"6,709",586,281,15,938,
9/9/20,2/1/20,9/5/20,Georgia,Female,85 years and over,725,"8,728",627,278,,"1,082",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Georgia,Female,All Ages,"2,318","27,093","2,184",989,62,"3,574",
9/9/20,2/1/20,9/5/20,Georgia,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Georgia,Unknown,45-54 years,0,0,0,0,0,0,
